id,word_count,action_time_mean,action_time_max,action_time_total,action_time_50,event_count,moves,paste_count,nonproduction_count,input_count,remove_cut_count,replace_count,nochange_count,capslock_count,paragraph_count,space_count,question_count,exclamation_count,sub_texts_count,amount_back_track,mean_back_track,max_back_track,median_back_track,one_back_track,score
001519c8,256,116.24677356276887,2259,297243,112.0,2557,3,0,120,2010,417,7,120,0,4,357,0,0,0,454,10.55726872246696,1350,1,419,3.5
0022f953,323,112.22127139364304,1758,275391,115.0,2454,0,1,254,1938,260,1,254,0,6,391,3,0,0,330,34.193939393939395,1581,1,311,3.5
0042269b,404,101.8377659574468,3005,421201,94.0,4136,0,0,175,3515,439,7,175,0,17,552,0,0,0,482,27.506224066390043,1862,1,438,6.0
0059420b,206,121.84832904884318,806,189596,110.0,1556,0,1,99,1304,151,1,99,2,3,243,0,0,0,159,4.622641509433962,357,1,151,2.0
0075873a,252,123.94389569340181,701,313702,129.0,2531,0,0,72,1942,517,0,72,0,10,324,2,0,0,528,5.390151515151516,643,1,518,4.0
0081af50,275,81.40434192672998,1102,179985,77.0,2211,0,0,76,1794,338,3,76,1,3,327,0,0,0,351,8.028490028490028,621,1,340,2.0
0093f095,242,109.71784702549576,501,193652,110.0,1765,0,0,34,1583,148,0,34,1,4,257,0,0,0,152,5.125,290,1,148,4.5
009e23ab,308,90.75563110922226,803,213548,91.0,2353,0,0,155,1975,222,1,155,0,9,366,2,0,0,239,50.49790794979079,1686,1,220,4.0
00e048f1,223,75.01135646687698,613,118893,69.0,1585,0,0,41,1426,118,0,41,0,5,245,0,0,0,121,11.900826446280991,1308,1,119,3.5
00e1f05a,739,93.34321492461028,11017,730504,71.0,7826,0,0,228,6145,1446,7,228,0,8,1087,0,0,1,1470,8.652380952380952,3370,1,1443,4.5
00e713bd,574,94.30690032858708,938,430511,91.0,4565,0,0,87,3946,530,2,87,0,10,663,5,0,1,538,4.788104089219331,1148,1,531,4.5
00f0737e,252,131.15728476821192,930,316876,136.0,2416,0,0,398,1780,237,1,398,0,15,284,1,0,1,317,5.315457413249211,300,1,295,2.5
00f8e84c,573,82.43052942757323,259,306724,80.0,3721,0,0,477,3182,62,0,477,0,12,582,1,0,0,70,16.757142857142856,274,1,62,4.5
00fc9a6a,244,111.76823398741207,23724,301886,84.0,2701,0,2,136,2029,534,0,136,47,7,330,0,0,3,557,10.567324955116696,1260,1,534,3.5
0144e4d5,234,87.00377893245158,586,184187,86.0,2117,0,0,319,1690,108,0,319,50,29,484,0,0,0,211,12.933649289099526,98,5,144,2.5
014e7ae9,449,124.05154376116356,4162,486158,122.0,3919,0,1,90,3289,529,10,90,0,11,568,0,0,0,552,14.045289855072463,1884,1,527,5.0
015aa732,421,96.49858088930937,2395,305997,86.0,3171,0,0,59,2848,258,6,59,0,11,506,1,0,0,270,7.4185185185185185,823,1,253,5.0
0178a105,286,135.84184561810795,4448,468111,128.0,3446,0,1,120,2444,878,3,120,0,14,432,0,1,0,906,3.933774834437086,463,1,880,3.0
0182aa1c,406,96.01823416506718,1530,300153,90.0,3126,0,0,80,2681,364,1,80,0,4,488,2,0,0,379,16.601583113456464,2092,1,363,4.0
0190ff4c,299,98.37773152965661,219,189082,94.0,1922,0,0,46,1758,118,0,46,0,4,328,0,0,0,125,19.064,1226,1,118,4.0
01963e20,414,94.34848484848484,1675,473252,93.0,5016,0,0,120,3815,1075,6,120,0,6,629,0,0,0,1005,3.8567164179104476,977,1,976,4.5
019737b6,636,86.89685124864278,1973,480192,96.0,5526,0,0,1011,4095,418,2,1011,0,4,711,0,0,0,478,35.92677824267783,3335,1,455,3.5
01992d32,537,135.2755591054313,4442,508095,133.0,3756,0,0,64,3374,312,6,64,0,8,623,1,0,0,327,10.819571865443425,1837,1,313,4.0
01c359fc,430,126.43626448534424,582,370964,123.0,2934,0,0,155,2528,251,0,155,0,12,490,0,0,0,287,30.411149825783973,2099,1,280,3.5
01d0ba4b,229,22.009151921903598,1551,36073,12.0,1639,0,0,6,1520,113,0,6,0,6,249,0,0,0,113,1.0,1,1,113,1.5
01d602a7,487,145.40862020710887,501,519545,151.0,3573,0,0,73,3142,358,0,73,0,6,546,8,1,0,362,1.201657458563536,33,1,358,4.5
0249a095,500,92.03578049684835,1051,496441,99.0,5394,0,0,1826,3178,389,1,1826,0,8,592,2,0,0,704,11.948863636363637,2246,1,693,5.0
0262bf61,447,78.75258892390815,2036,349819,76.0,4442,0,0,499,3284,659,0,499,0,9,535,2,0,0,673,10.766716196136702,1375,1,658,4.5
026be946,712,90.76440756108806,2500,393736,76.0,4338,0,0,195,4005,137,1,195,0,3,738,9,1,0,184,66.65217391304348,3711,1,149,5.0
0294b4f5,205,60.31690514043455,486,113818,60.0,1887,0,0,61,1607,219,0,61,22,2,240,0,0,0,229,7.698689956331878,929,1,219,2.5
02a41d1a,269,155.8877473363775,27388,409673,150.0,2628,0,0,121,2090,414,3,121,0,4,365,3,0,0,325,9.744615384615384,1391,1,306,3.0
02cf6a52,282,129.9790243902439,1738,266457,127.0,2050,0,0,43,1822,183,2,43,0,6,317,4,0,1,176,8.125,994,1,170,3.5
02d3c9fc,284,107.89023717595146,6342,391210,103.0,3626,0,1,692,2427,498,8,692,0,5,396,0,0,0,554,20.927797833935017,1798,1,493,4.0
02e86b6a,490,83.28839433511128,1498,452839,81.0,5437,0,1,591,3973,869,3,591,0,6,632,0,0,0,1027,7.750730282375852,2456,1,994,4.0
031c0c58,337,128.57464061924068,2274,348823,126.0,2713,0,0,94,2307,307,5,94,0,3,398,3,0,1,317,21.665615141955836,1366,1,297,4.0
034d61db,562,101.48807854137448,253,361805,94.0,3565,0,0,56,3478,31,0,56,0,11,567,0,0,0,40,384.225,3060,1,31,4.5
035f09fc,407,115.47977225052442,1937,385356,113.0,3337,0,0,297,2747,285,8,297,0,9,466,7,0,0,352,13.366477272727273,1751,1,334,3.5
036cfd42,641,86.06206512663512,1700,618442,85.0,7186,0,0,812,5250,1123,1,812,0,15,968,5,0,1,1266,6.394944707740916,2603,1,1255,4.5
0395b217,471,86.78033205619413,494,339745,85.0,3915,0,0,173,3230,511,1,173,0,4,574,2,0,0,519,8.269749518304431,1636,1,512,5.5
03971ddf,327,72.83470796162263,2358,432711,63.0,5941,0,1,3655,2121,164,0,3655,0,7,355,4,0,1,1509,36.85553346587144,93,81,762,4.5
040c429b,530,101.40308866909595,1847,584386,96.0,5763,0,0,140,4334,1289,0,140,4,9,838,13,0,1,1295,1.9791505791505792,535,1,1288,5.0
0417d421,271,112.1687526974536,501,259895,111.0,2317,0,0,53,1905,359,0,53,0,6,343,0,1,1,365,6.778082191780822,810,1,360,3.0
0432f117,396,111.97517070142769,1847,360784,105.5,3222,0,1,155,2773,290,3,155,0,3,437,0,0,0,323,18.238390092879257,1700,1,305,4.0
0445b534,214,62.227460223924574,153,105600,68.0,1697,0,0,214,1421,61,1,214,0,7,232,0,0,0,98,2.7755102040816326,14,9,58,3.5
044b274d,531,77.43170405088718,1357,462577,74.0,5974,0,1,248,4653,1057,15,248,0,13,751,2,0,1,1128,11.084219858156029,2351,35,1057,6.0
044c5c54,213,65.06259541984733,409,85232,60.0,1310,0,0,13,1222,75,0,13,0,2,228,0,0,0,80,3.95,218,1,75,1.0
048fd254,296,85.70165993719156,2267,191029,84.0,2229,0,0,236,1844,149,0,236,0,10,330,1,0,1,181,32.033149171270715,628,1,153,4.0
04b88b3e,514,108.94745575221239,3324,393954,109.0,3616,0,0,118,3203,292,3,118,0,4,564,6,1,0,308,30.915584415584416,2125,1,294,4.0
04c5f885,205,128.39275956284152,340,187967,130.0,1464,0,0,21,1357,86,0,21,0,2,253,0,0,0,86,1.0,1,1,86,3.0
04e37b6b,282,105.53507498790518,509,218141,106.0,2067,0,0,67,1890,110,0,67,1,6,302,1,0,2,118,1.1355932203389831,17,1,117,3.0
04e63aec,426,114.55333559092449,4145,676552,126.0,5906,0,0,777,3783,1344,2,777,0,8,707,3,0,0,1454,8.818431911966988,1376,1,1391,4.0
04f83ccb,670,67.74427415188566,517,393391,70.0,5807,0,0,713,4313,781,0,713,0,7,834,0,0,0,679,14.50220913107511,1057,1,657,5.0
052a7811,303,87.67645921917278,4435,226819,82.0,2587,0,0,299,2058,224,6,299,0,5,378,0,0,0,248,19.60483870967742,1562,1,223,3.5
052b25e1,741,57.27504725897921,1716,302985,54.0,5290,0,1,87,4847,346,9,87,0,10,858,5,0,0,372,21.803763440860216,3568,28,346,5.0
052cf3a6,212,100.9192546583851,570,162480,106.0,1610,0,0,159,1369,82,0,159,2,4,267,0,0,0,87,5.068965517241379,218,1,82,2.5
053be4e5,422,97.17437722419929,513,464202,97.0,4777,0,0,80,3621,1076,0,80,0,9,613,0,0,0,1088,5.0119485294117645,1493,1,1076,3.0
05624ab0,234,125.15132336018412,501,217513,126.0,1738,0,0,27,1487,224,0,27,0,4,251,0,0,2,225,4.822222222222222,861,1,224,3.5
056c41fc,207,115.69655172413793,552,201312,117.0,1740,0,0,89,1422,229,0,89,20,2,284,0,0,1,248,15.600806451612904,1144,1,239,2.5
05b35fa0,222,100.70892857142857,3048,225588,89.0,2240,0,0,100,1758,382,0,100,6,12,289,0,0,0,404,11.928217821782178,1259,1,379,3.5
05f425a4,400,56.904879773691654,1878,160927,55.0,2828,0,0,124,2505,198,1,124,103,0,436,8,3,0,203,2.0886699507389164,102,1,197,3.5
05f8ca37,285,117.79662162162163,900,348678,121.0,2960,0,0,56,2259,644,1,56,0,4,393,1,0,1,654,3.04434250764526,740,1,645,3.0
06336d82,849,76.22858087992061,31639,460878,66.0,6046,0,0,710,5050,286,0,710,0,8,884,0,0,2,542,52.710332103321036,2932,100,303,6.0
064a82e9,495,83.23260698346023,504,317033,82.0,3809,0,1,98,3236,474,0,98,0,9,553,1,0,1,482,14.056016597510373,2066,1,475,4.5
0657fcde,491,103.09539473684211,1178,344751,102.0,3344,0,0,99,3021,222,2,99,2,8,530,7,1,4,231,19.19047619047619,1297,1,223,4.5
0666fb4e,670,96.59522757401679,9342,437190,84.0,4526,0,0,96,4202,227,1,96,0,8,761,0,0,2,228,35.78947368421053,3848,1,223,4.5
069d668b,453,101.04077974456644,2075,450945,94.0,4463,0,0,311,3421,727,4,311,0,8,623,0,0,0,758,2.162269129287599,468,1,744,4.0
06cba5d7,397,94.86198547215497,506,274246,93.0,2891,0,0,198,2427,266,0,198,0,6,454,0,0,0,279,17.34767025089606,804,1,269,3.5
06e59db8,1037,107.16244725738396,512,660335,106.0,6162,0,0,114,5723,325,0,114,0,10,1095,6,3,2,327,15.623853211009175,4663,1,325,6.0
06f33221,336,94.04106951871658,783,439642,89.0,4675,0,0,1374,2787,511,3,1374,0,9,451,3,0,0,758,4.95778364116095,1431,1,741,4.5
073b3535,673,113.91672581026732,489,481526,116.0,4227,0,0,232,3776,219,0,232,0,14,709,6,0,0,230,20.660869565217393,1329,1,221,4.0
075f92a5,659,65.80134064594759,2484,323940,64.0,4923,0,0,137,4198,587,1,137,0,8,783,2,0,0,593,3.618887015177066,650,1,586,4.5
077ee03e,546,91.00247007410222,1898,478946,90.0,5263,0,0,59,4301,900,3,59,0,11,764,0,0,0,912,3.5559210526315788,1021,1,899,4.0
078a6196,551,131.66631355932202,7766,621465,117.0,4720,0,1,298,3871,528,22,298,0,9,672,0,0,0,615,12.71869918699187,2219,1,558,4.5
07bb2245,275,120.83174471612101,1321,291567,123.0,2413,3,0,188,1924,298,0,188,0,8,310,0,0,1,339,41.932153392330385,833,1,292,3.5
